date,temp,mass,prec
02-04,0.48,0.0,2.1264203
02-05,0.48,65.03,2.183341
02-06,0.48,-47.023333333333326,2.2193487
02-07,0.48,-159.07666666666665,2.2553563
02-08,0.48,-271.13,2.291364
02-09,0.48,-165.07,2.2703054
02-10,0.48,-119.24000000000001,2.1803455
02-11,0.48,-256.29,2.1846962
02-12,0.48,-189.29,2.1811557
03-01,0.48,-122.13,2.2824302
03-02,0.48,-299.26,2.248656
03-03,0.48,-193.22000000000003,2.2766018
03-04,0.48,-25.830000000000002,2.1855562
03-05,0.48,19.76,2.2159042
03-06,0.48,-139.1,2.2434106
03-07,0.48,-297.96,2.2709167
03-08,0.48,-436.11,2.3695498
03-09,0.49,-493.61,2.3417668
03-10,0.5,-403.08000000000004,2.2460458
03-11,0.5,-463.26,2.2071612
03-12,0.5,-594.0899999999999,2.2372255
04-01,0.51,-670.83,2.2188718
04-02,0.51,-820.87,2.2745655
04-03,0.51,-653.42,2.3215096
04-04,0.52,-662.8,2.1748514
04-05,0.51,-460.45,2.1723547
04-06,0.51,-493.58,2.242828
04-07,0.5,-723.34,2.1638029
04-08,0.5,-702.26,2.3062115
04-09,0.49,-739.19,2.283701
04-10,0.49,-674.6,2.237645
04-11,0.49,-780.87,2.2539353
04-12,0.49,-837.01,2.267378
05-01,0.49,-923.34,2.3264859
05-02,0.48,-960.79,2.2978687
05-03,0.48,-859.66,2.332561
05-04,0.48,-705.75,2.2450287
05-05,0.49,-656.38,2.181136
05-06,0.49,-658.07,2.2229576
05-07,0.5,-736.4000000000001,2.30452
05-08,0.5,-978.49,2.361065
05-09,0.5,-951.22,2.3640602
05-10,0.5,-944.86,2.3079877
05-11,0.49,-896.66,2.1834054
05-12,0.49,-947.2,2.2134047
06-01,0.48,-1021.07,2.3521523
06-02,0.48,-1051.02,2.270793
06-03,0.48,-897.6700000000001,2.3126123
06-04,0.47,-925.6400000000001,2.1828213
06-05,0.47,-840.07,2.137563
06-06,0.47,-819.88,2.2544866
06-07,0.47,-934.64,2.283482
06-08,0.46,-984.38,2.3537915
06-09,0.47,-1048.48,2.3419652
06-10,0.47,-1109.56,2.2830946
06-11,0.48,-1144.49,2.2680597
06-12,0.49,-1309.47,2.2538555
07-01,0.49,-1469.27,2.3074732
07-02,0.5,-1395.93,2.2518647
07-03,0.5,-1339.69,2.3092368
07-04,0.5,-1315.92,2.191474
07-05,0.49,-1159.81,2.167879
07-06,0.49,-1178.04,2.2729056
07-07,0.48,-1384.22,2.3258712
07-08,0.47,-1547.0900000000001,2.2855096
07-09,0.46,-1541.6100000000001,2.313283
07-10,0.45,-1642.56,2.228732
07-11,0.43,-1814.25,2.2359772
07-12,0.4,-1837.55,2.2695012
08-01,0.38,-1993.94,2.2422032
08-02,0.36,-1887.25,2.2980633
08-03,0.35,-1996.8000000000002,2.1993322
08-04,0.35,-1852.59,2.1329107
08-05,0.35,-1774.8,2.1000495
08-06,0.34,-1848.3999999999999,2.2274597
08-07,0.34,-2090.69,2.317653
08-08,0.35,-2221.87,2.2863264
08-09,0.36,-2121.97,2.373895
08-10,0.37,-2194.7400000000002,2.224984
08-11,0.38,-2115.2000000000003,2.237575
