Global Ocean January - December Temperature Anomalies,temp
Units: Degrees Celsius,x
Base Period: 1901-2000,x
Missing: -999,x
Date,Anomaly
200201,0.46
200202,0.47
200203,0.47
200204,0.48
200205,0.48
200206,0.48
200207,0.48
200208,0.48
200209,0.48
200210,0.48
200211,0.48
200212,0.48
200301,0.48
200302,0.48
200303,0.48
200304,0.48
200305,0.48
200306,0.47
200307,0.48
200308,0.48
200309,0.49
200310,0.5
200311,0.5
200312,0.5
200401,0.51
200402,0.51
200403,0.51
200404,0.52
200405,0.51
200406,0.51
200407,0.5
200408,0.5
200409,0.49
200410,0.49
200411,0.49
200412,0.49
200501,0.49
200502,0.48
200503,0.48
200504,0.48
200505,0.49
200506,0.49
200507,0.5
200508,0.5
200509,0.5
200510,0.5
200511,0.49
200512,0.49
200601,0.48
200602,0.48
200603,0.48
200604,0.47
200605,0.47
200606,0.47
200607,0.47
200608,0.46
200609,0.47
200610,0.47
200611,0.48
200612,0.49
200701,0.49
200702,0.5
200703,0.5
200704,0.5
200705,0.49
200706,0.49
200707,0.48
200708,0.47
200709,0.46
200710,0.45
200711,0.43
200712,0.4
200801,0.38
200802,0.36
200803,0.35
200804,0.35
200805,0.35
200806,0.34
200807,0.34
200808,0.35
200809,0.36
200810,0.37
200811,0.38
200812,0.39
200901,0.4
200902,0.41
200903,0.42
200904,0.43
200905,0.44
200906,0.45
200907,0.47
200908,0.48
200909,0.48
200910,0.49
200911,0.51
200912,0.52
201001,0.54
201002,0.56
201003,0.58
201004,0.59
201005,0.6
201006,0.59
201007,0.59
201008,0.58
201009,0.58
201010,0.57
201011,0.55
201012,0.53
201101,0.51
201102,0.49
201103,0.47
201104,0.46
201105,0.45
201106,0.44
201107,0.43
201108,0.43
201109,0.42
201110,0.42
201111,0.42
201112,0.41
201201,0.41
201202,0.41
201203,0.41
201204,0.41
201205,0.41
201206,0.41
201207,0.42
201208,0.43
201209,0.44
201210,0.45
201211,0.46
201212,0.48
201301,0.48
201302,0.49
201303,0.5
201304,0.51
201305,0.51
201306,0.51
201307,0.51
201308,0.52
201309,0.52
201310,0.52
201311,0.52
201312,0.51
201401,0.52
201402,0.52
201403,0.52
201404,0.53
201405,0.54
201406,0.55
201407,0.56
201408,0.57
201409,0.58
201410,0.59
201411,0.6
201412,0.6
201501,0.61
201502,0.62
201503,0.63
201504,0.63
201505,0.64
201506,0.64
201507,0.65
201508,0.66
201509,0.67
201510,0.68
201511,0.7
201512,0.72
201601,0.75
201602,0.77
201603,0.79
201604,0.8
201605,0.8
201606,0.8
201607,0.81
201608,0.81
201609,0.8
201610,0.79
201611,0.77
201612,0.76
201701,0.74
201702,0.73
201703,0.73
201704,0.72
201705,0.72
201706,0.71
201707,0.71
201708,0.71
201709,0.7
201710,0.7
201711,0.7
201712,0.7
201801,0.68
201802,0.67
201803,0.66
201804,0.65
201805,0.65
201806,0.64
201807,0.64
201808,0.63
201809,0.63
201810,0.64
201811,0.64
201812,0.66
201901,0.67
201902,0.68
201903,0.69
201904,0.69
201905,0.7
201906,0.71
201907,0.72
201908,0.73
201909,0.74
201910,0.74
201911,0.74
201912,0.74
202001,0.75
202002,0.76
202003,0.76
202004,0.77
202005,0.77
202006,0.77
202007,0.77
202008,0.76
202009,0.76
202010,0.75
202011,0.74
202012,0.73
202101,0.7
202102,0.69
202103,0.67
202104,0.65
202105,0.64
202106,0.63
202107,0.63
202108,0.62
202109,0.62
202110,0.62
202111,0.63
202112,0.63
202201,0.64
202202,0.65
202203,0.65
202204,0.66
202205,0.66
202206,0.66
202207,0.66
202208,0.66
202209,0.67
202210,0.67
202211,0.67
202212,0.67
202301,0.67
202302,0.67
202303,0.69
202304,0.71
202305,0.72
202306,0.74
202307,0.77
202308,0.79
202309,0.82
202310,0.85
202311,0.88
202312,0.91
